team_name_clean,matched_school_clean,match_score,unitid,iped_school_original
usc,kent state at tuscarawas,90.0,203483,Kent State University at Tuscarawas
nan,pasco hernando state,90.0,136400,Pasco-Hernando State College
oregon,central oregon community,90.0,208318,Central Oregon Community College
miami,albizu miami,90.0,132842,Albizu University-Miami
michigan,west michigan of barbering and beauty,90.0,152044,West Michigan College of Barbering and Beauty
ohio state,ohio state agricultural technical institute,90.0,204662,Ohio State University Agricultural Technical Institute
texas a m,texas a m corpus christi,90.0,224147,Texas A & M University-Corpus Christi
georgia tech,west georgia technical,90.0,139278,West Georgia Technical College
southern miss,of southern mississippi,90.0,176372,University of Southern Mississippi
california,california institute of integral studies,90.0,110316,California Institute of Integral Studies
rutgers,rutgers camden,90.0,186371,Rutgers University-Camden
austin peay,austin peay state,90.0,219602,Austin Peay State University
massachusetts,of massachusetts lowell,90.0,166513,University of Massachusetts-Lowell
charlotte,charlotte technical,90.0,132976,Charlotte Technical College
ohio,athenaeum of ohio,90.0,201140,Athenaeum of Ohio
nevada,career of northern nevada,90.0,181941,Career College of Northern Nevada
pittsburgh,of pittsburgh bradford,90.0,215266,University of Pittsburgh-Bradford
virginia,minnesota north mesabi range virginia,90.0,173993,Minnesota North College - Mesabi Range Virginia
louisiana,central louisiana technical community,90.0,158088,Central Louisiana Technical Community College
utah,utah tech,90.0,230171,Utah Tech University
new mexico,central new mexico community,90.0,187532,Central New Mexico Community College
bowling green,pj s of cosmetology bowling green,90.0,156310,PJ's College of Cosmetology-Bowling Green
colorado state,colorado,90.0,126678,Colorado College
florida a m,florida,90.0,133809,Florida College
tulsa,tulsa community,90.0,207935,Tulsa Community College
tulane,tulane of louisiana,90.0,160755,Tulane University of Louisiana
chattanooga,chattanooga state community,90.0,219824,Chattanooga State Community College
southern,birmingham southern,90.0,100937,Birmingham-Southern College
cal lutheran,luther,90.0,153834,Luther College
california pa,california polytechnic state san luis obispo,86.4,110422,California Polytechnic State University-San Luis Obispo
nc state,alabama state,85.5,100724,Alabama State University
virginia tech,southern arkansas tech,85.5,107992,Southern Arkansas University Tech
miami oh,albizu miami,85.5,132842,Albizu University-Miami
houston christian,christian theological seminary,85.5,150215,Christian Theological Seminary
sacramento state,enterprise state community,85.5,101143,Enterprise State Community College
fresno state,enterprise state community,85.5,101143,Enterprise State Community College
loyola chi,loyola marymount,85.5,117946,Loyola Marymount University
