player_key,player_name,team_committed,deal_value,deal_count,sport_name,player_state,player_position,player_class_year
147177.0,Brandon Baker,Texas,,4,Football,CA,OT,2024.0
147189.0,Cannon Leonard,Iowa,,1,Football,IL,OT,2023.0
147197.0,Zack Myers,NC State,,1,Football,NC,S,2023.0
147200.0,Jacob Manu,Washington,,5,Football,CA,LB,2022.0
147202.0,Kenny Johnson,Pittsburgh,,2,Football,PA,WR,2023.0
147205.0,Christian Dremel,Rutgers,,2,,NJ,WR,2019.0
147220.0,Kylan Boswell,Illinois,,4,Basketball,IL,PG,2022.0
147232.0,Devin Williams,Florida Atlantic,,2,Basketball,CA,PF,2023.0
147236.0,Ashton Hardaway,Memphis,,3,Basketball,TX,PF,2023.0
147237.0,Jizzle James,Cincinnati,,1,Basketball,FL,PG,2023.0
147241.0,Michael Nwoko,LSU,,2,Basketball,NC,C,2023.0
147253.0,Jacarrius Peak,NC State,,1,Football,GA,OT,2022.0
147256.0,Xavier Booker,UCLA,,1,Basketball,IN,PF,2023.0
147259.0,Josh Hubbard,Mississippi State,,2,Basketball,MS,PG,2023.0
147268.0,Jakai Newton,Georgia State,,2,Basketball,GA,SG,2023.0
147283.0,Pat Suemnick,Seton Hall,,2,,WI,PF,2020.0
147284.0,Zalance Heard,Tennessee,,1,Football,LA,OT,2023.0
147288.0,Champ Sanders,UCLA,,2,Football,CA,DL,2023.0
147289.0,Zion Fowler,Pittsburgh,,3,Football,NJ,WR,2023.0
147291.0,Desmond Umeozulu,South Carolina,,1,Football,MD,EDGE,2023.0
147292.0,Jaydon Chatman,Texas,,1,Football,TX,IOL,2023.0
147296.0,Dijon Johnson,Florida,,3,Football,FL,CB,2023.0
147298.0,Tyler Williams,USF,,1,Football,FL,WR,2023.0
147299.0,Connor Turnbull,Evansville,,2,Basketball,MO,C,2022.0
147346.0,AJ Edwards,Sam Houston State,,1,Football,MS,CB,2020.0
147390.0,Oliver Straw,West Virginia,,2,Football,VIC,P,2022.0
147392.0,Cooper Cousins,Penn State,,2,Football,PA,IOL,2024.0
147396.0,Ondre Evans,Georgia,,2,Football,TN,CB,2024.0
147400.0,Isaiah Spencer,Virginia Tech,,1,,MS,WR,2023.0
147404.0,Wendell Moe,Tennessee,,1,Football,CA,IOL,2022.0
147457.0,Matthew Bailey,Illinois,,1,Football,IL,S,2022.0
147459.0,Bryce West,Ohio State,,1,Football,OH,CB,2024.0
147464.0,Tao Johnson,Utah,,2,Football,ID,S,2022.0
147470.0,Trevor Buhr,Iowa State,,1,Football,MO,IOL,2023.0
147478.0,Cameron Brandt,Michigan,,1,Football,CA,DL,2023.0
147480.0,Jake Merklinger,Tennessee,,1,Football,GA,QB,2024.0
147481.0,Bobby Washington Jr.,Miami,,3,Football,FL,LB,2023.0
147502.0,Jackson Holman,Wyoming,,1,Football,CA,WR,2023.0
147515.0,Jyaire Hill,Michigan,,1,Football,IL,CB,2023.0
147516.0,Beni Ngoyi,Iowa State,,1,Football,NE,WR,2023.0
147523.0,Eugene Wilson III,Florida,,7,Football,FL,WR,2023.0
147554.0,Bobby Kanka,Michigan,,1,Football,MI,DL,2025.0
147571.0,KyeRon Lindsay,UAB,,1,Basketball,TX,PF,2022.0
147573.0,Elijah Saunders,Maryland,,2,Basketball,AZ,PF,2022.0
147577.0,Nick Pringle,Arkansas,,2,,KS,PF,2020.0
147588.0,Justyn Fernandez,Delaware,,1,Basketball,VA,SF,2022.0
147605.0,Donovan Dent,UCLA,,2,Basketball,CA,PG,2022.0
147620.0,Jackson Paveletzke,Ohio,,1,Basketball,WI,SG,2022.0
147624.0,Kolby King,Utah State,,2,Basketball,FL,PG,2022.0
