unitid,nil_deal_count,nil_total_dollars,nil_avg_deal,nil_median_deal,nil_verified_count,nil_distinct_players,nil_distinct_companies,nil_stars_sum,nil_stars_weighted_total,nil_dollars_per_star
203447,3,0.0,0.0,0.0,0,3,2,7.0,0.0,0.0
203483,102,2080157.0,20393.696078431374,0.0,0,49,59,78.0,6240471.0,80006.03846153847
203580,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
204468,51,6584372.0,129105.33333333333,0.0,0,35,25,63.0,26337488.0,418055.3650793651
204662,201,97104235.0,483105.6467661692,0.0,0,82,81,532.0,469880275.0,883233.5996240601
206084,38,0.0,0.0,0.0,0,20,13,26.0,0.0,0.0
206622,5,0.0,0.0,0.0,0,5,4,0.0,0.0,0.0
206695,12,0.0,0.0,0.0,0,10,2,4.0,0.0,0.0
206835,237,13005080.0,54873.7552742616,0.0,0,98,97,224.0,0.0,0.0
206932,10,0.0,0.0,0.0,0,1,10,0.0,0.0,0.0
207050,78,0.0,0.0,0.0,0,42,32,44.0,0.0,0.0
207582,1,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0
207935,16,0.0,0.0,0.0,0,10,8,32.0,0.0,0.0
208318,109,6848856.0,62833.54128440367,0.0,0,45,66,131.0,34244280.0,261406.71755725192
209542,78,0.0,0.0,0.0,0,38,33,82.0,0.0,0.0
209825,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
211291,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
212054,2,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
212106,10,0.0,0.0,0.0,0,8,3,0.0,0.0,0.0
213543,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
213987,1,0.0,0.0,0.0,0,1,0,3.0,0.0,0.0
214591,183,0.0,0.0,0.0,0,74,65,434.0,0.0,0.0
215266,78,0.0,0.0,0.0,0,45,34,89.0,0.0,0.0
215442,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
215655,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
215770,7,0.0,0.0,0.0,0,6,1,6.0,0.0,0.0
216339,30,0.0,0.0,0.0,0,17,15,26.0,0.0,0.0
216597,13,0.0,0.0,0.0,0,10,7,12.0,0.0,0.0
217156,2,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
217165,7,0.0,0.0,0.0,0,3,5,4.0,0.0,0.0
217402,12,0.0,0.0,0.0,0,8,4,3.0,0.0,0.0
217420,5,0.0,0.0,0.0,0,4,2,0.0,0.0,0.0
217819,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
217882,87,18465624.0,212248.55172413794,0.0,0,35,60,150.0,73862496.0,492416.64
218070,3,0.0,0.0,0.0,0,2,2,6.0,0.0,0.0
218724,8,0.0,0.0,0.0,0,6,5,13.0,0.0,0.0
218733,158,33305262.0,210792.79746835443,0.0,0,67,84,159.0,135447294.0,851869.7735849057
218964,1,0.0,0.0,0.0,0,1,1,4.0,0.0,0.0
219356,3,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0
219471,2,0.0,0.0,0.0,0,2,0,3.0,0.0,0.0
219596,176,0.0,0.0,0.0,0,75,62,222.0,0.0,0.0
219602,17,0.0,0.0,0.0,0,10,10,29.0,0.0,0.0
219806,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
219824,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
220075,19,0.0,0.0,0.0,0,4,18,0.0,0.0,0.0
220862,124,0.0,0.0,0.0,0,61,56,153.0,0.0,0.0
220978,5,0.0,0.0,0.0,0,5,2,3.0,0.0,0.0
221838,3,0.0,0.0,0.0,0,3,2,6.0,0.0,0.0
221999,60,8274512.0,137908.53333333333,0.0,0,30,43,55.0,31549596.0,573629.0181818182
222178,7,0.0,0.0,0.0,0,3,5,12.0,0.0,0.0
223232,41,0.0,0.0,0.0,0,24,27,31.0,0.0,0.0
224147,153,6376035.0,41673.43137254902,0.0,0,83,59,264.0,19128105.0,72454.94318181818
224554,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
225511,132,0.0,0.0,0.0,0,66,51,93.0,0.0,0.0
225627,2,0.0,0.0,0.0,0,2,1,3.0,0.0,0.0
227216,14,0.0,0.0,0.0,0,11,2,3.0,0.0,0.0
227368,1,0.0,0.0,0.0,0,1,1,3.0,0.0,0.0
227757,22,0.0,0.0,0.0,0,11,15,0.0,0.0,0.0
227881,8,0.0,0.0,0.0,0,5,4,16.0,0.0,0.0
228431,1,0.0,0.0,0.0,0,1,1,3.0,0.0,0.0
228459,16,0.0,0.0,0.0,0,13,5,6.0,0.0,0.0
228769,3,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0
228802,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
