company_name,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,top_school,top_position
Make-A-Wish Foundation of Iowa,16,16,0.0,0.0,Iowa State,S
Accelerator Active Energy,16,16,0.0,0.0,LSU,All
Unrivaled,16,15,3001544.0,1500772.0,LSU,CG
PORCH Chapel Hill-Carrboro,16,15,0.0,0.0,North Carolina,LB
Jones Medical Supply,16,12,0.0,0.0,Troy,LB
Gatorade,16,16,2288842.0,2288842.0,Alabama,QB
SAXX Underwear,16,16,0.0,0.0,Eastern Michigan,EDGE
Bumble,16,16,0.0,0.0,UCLA,CG
Jacksons Food Stores,16,14,0.0,0.0,Boise State,PF
SWAG Family Resource Centers,15,14,0.0,0.0,Florida,EDGE
Conagra Brands,15,14,0.0,0.0,Arkansas,SG
Bojangles,15,15,0.0,0.0,NC State,QB
RITZ Crackers,15,15,0.0,0.0,Florida Gulf Coast University,CG
Conditioned Air Systems,15,14,0.0,0.0,Georgia,PF
BB's Tex-Orleans,15,13,0.0,0.0,Houston,SG
Haven House,15,15,0.0,0.0,Stanford,S
Campus Ink,14,14,3201546.0,1600773.0,Louisville,QB
Hurricanes Team Store,14,14,0.0,0.0,Miami,RB
Gallery Furniture,14,13,0.0,0.0,Houston,SG
The Peabody Memphis,14,14,0.0,0.0,Memphis,PF
Athlete's Thread,14,11,0.0,0.0,Oklahoma,QB
Stanford Medicine Summer Scamper,14,14,0.0,0.0,Stanford,WR
Lulus,14,14,0.0,0.0,Louisville,IF
The Family Place,14,14,0.0,0.0,Utah State,WR
Basepath,14,14,0.0,0.0,Michigan State,PG
Nerf,14,14,0.0,0.0,Central Oklahoma,SG
Elk + Elk,14,13,0.0,0.0,Ohio State,SG
Fanatics,14,13,4302142.0,4302142.0,BYU,QB
Versiti Blood Center of Indiana,13,12,1882464.0,1882464.0,Purdue,SF
Wilson Cadillac,13,13,0.0,0.0,Oklahoma State,PF
Hungry Howie's,13,12,0.0,0.0,Michigan State,IOL
Daps,13,12,0.0,0.0,Dayton,PG
Nyle Maxwell Family of Dealerships,13,13,0.0,0.0,Texas,CG
A Kid Again,13,11,1564090.0,1564090.0,Ohio State,DL
Express,13,12,0.0,0.0,Ohio State,SG
C4 Energy,13,13,0.0,0.0,USC,RB
Vanguard Volkswagen,13,13,0.0,0.0,Texas,WR
C.W. URBAN,13,12,0.0,0.0,Utah,All
Troy Bank & Trust,13,12,0.0,0.0,Troy,QB
Austin YMCA,13,13,0.0,0.0,Texas,S
Skims,13,13,0.0,0.0,North Carolina,SG
Red Rock Pharmacy,13,13,0.0,0.0,Utah,VT
Bleeding Blue For Good Blood Drive,13,13,0.0,0.0,Connecticut,WR
RAYGUN,12,12,0.0,0.0,Iowa State,SF
Apex Entertainment,12,11,0.0,0.0,Syracuse,SF
Meta,12,12,1500772.0,1500772.0,Louisville,CG
West Shore Home,12,11,0.0,0.0,Penn State,DL
Moolah Kicks,12,12,0.0,0.0,Alabama A&M,CG
HighlightHER,12,12,1500772.0,1500772.0,South Carolina,SF
Austin Public Library,12,12,0.0,0.0,Auburn,DL
Sporting Kansas City,12,7,0.0,0.0,Missouri,MF
Cheez-It,12,12,4303607.0,2151803.5,Illinois,QB
Next Gen Camps,12,12,0.0,0.0,Wisconsin,RB
Our Shared Kitchen,12,11,0.0,0.0,Texas,DL
The Verb Kind,12,12,0.0,0.0,Florida,EDGE
St. Francis House,12,12,0.0,0.0,Florida,S
Eastern Illinois Foodbank,12,10,0.0,0.0,Illinois,EDGE
Assurance Financial,12,11,0.0,0.0,Troy,DL
eFuse,12,12,0.0,0.0,,WR
My Gameday Shop ,12,12,0.0,0.0,Georgia Tech,OT
SAFE,12,12,0.0,0.0,Texas,CB
Oxford Orthopaedics,12,12,0.0,0.0,Ole Miss,SG
Hawk Talk,12,12,0.0,0.0,Kansas,SG
Great Clips,12,12,0.0,0.0,Kansas State,QB
Sammy's Buddy Program,12,12,0.0,0.0,Utah,WR
Every True Tiger Brands,12,12,0.0,0.0,Missouri,IOL
T-Mobile,12,12,2589918.0,2589918.0,South Carolina,QB
Defense Drinks,11,11,0.0,0.0,BYU,DL
The Dairy Alliance,11,11,3139796.0,3139796.0,South Carolina,QB
Champs Sports,11,11,0.0,0.0,Austin Peay,CG
BeONESports,11,11,0.0,0.0,Kansas,C
Playa Bowls,11,11,0.0,0.0,Ohio State,SG
Tronus,11,11,0.0,0.0,Western Illinois,C
Yelloh,11,11,0.0,0.0,Minnesota,S
Clean Energy,11,11,0.0,0.0,South Carolina,WR
Applebee's Grill + Bar,11,8,0.0,0.0,NC State,RB
PorkRinds.com,11,11,2226246.0,2226246.0,Syracuse,EDGE
Jordan Brand,11,11,1917596.0,1917596.0,Duke,PG
World of Warcraft,11,11,0.0,0.0,Washington,QB
Canyon Elementary School Career Fair,11,11,0.0,0.0,Utah State,WR
Special Olympics Virginia,11,11,0.0,0.0,Virginia Tech,DL
Walk-On’s Sports Bistreaux,11,10,2056072.0,2056072.0,Mississippi State,WR
HOKA,11,9,0.0,0.0,Colorado,DR
7-Eleven,11,11,4199730.0,4199730.0,Ohio State,WR
