state_abbr,pct4g_st,pct5g_low_st,coverage_mobile_score
IA,0.9846345,0.891684131,0.9474543524
KS,0.985286112,0.81069339,0.9154490232000001
KY,0.88490176,0.631796561,0.7836596804
LA,0.94845483,0.734455311,0.8628550224
ME,0.598056805,0.4113464,0.5233726430000001
MD,0.974073671,0.833600312,0.9178843273999999
MA,0.97910305,0.76962183,0.8953105619999999
MI,0.733180833,0.441937397,0.6166834586000001
MN,0.945030558,0.764662358,0.872883278
MS,0.956368345,0.714567771,0.8596481154
MO,0.943370009,0.688515844,0.841428343
MT,0.647123712,0.388691497,0.543750826
NE,0.914588911,0.609497963,0.7925525318
NV,0.623600043,0.373722463,0.523649011
NH,0.864065873,0.503400823,0.719799853
NJ,0.994239766,0.879600091,0.9483838960000001
NM,0.80312523,0.528506315,0.693277664
NY,0.874840452,0.650201483,0.7849848644000001
NC,0.941963661,0.670768105,0.8334854385999999
ND,0.982559184,0.841340128,0.9260715615999999
OH,0.97125075,0.858883733,0.9263039432
OK,0.975498233,0.824653273,0.915160249
OR,0.682550337,0.32836524,0.5408762981999999
PA,0.910674891,0.712393763,0.8313624397999999
RI,0.99720721,0.887454209,0.9533060096
SC,0.977339417,0.776238329,0.8968989817999999
SD,0.957892368,0.744528585,0.8725468547999999
TN,0.875356048,0.581710326,0.7578977592
TX,0.924756717,0.728667508,0.8463210334
UT,0.697071774,0.475459861,0.6084270088
VT,0.862131186,0.386942639,0.6720557672
VA,0.904886239,0.551886102,0.7636861842
WA,0.716111654,0.51278158,0.6347796244
WV,0.656878935,0.425025963,0.5641377462
WI,0.872917088,0.620223918,0.77183982
WY,0.768280509,0.360740458,0.6052644886
NAN,0.518784855,0.219914881,0.39923686540000003
NAN,0.296838302,0.257904246,0.2812646796
NAN,0.050494982,0.010352717,0.034438076
NAN,0.488592752,0.470169743,0.4812235484
NAN,0.757514941,0.15756846,0.5175363486
AL,1.0,1.0,1.0
AK,0.400072022,0.141883194,0.2967964908
AZ,0.711089404,0.118441602,0.47403028319999996
CA,0.726176116,0.596730585,0.6743979036
CO,0.779322885,0.473980742,0.6571860278
CT,1.0,1.0,1.0
FL,0.885172037,0.757782632,0.834216275
HI,0.957468428,0.776890695,0.8852373348
ID,0.827204445,0.662366672,0.7612693358
IN,1.0,1.0,1.0
IA,1.0,0.988610478,0.9954441912
KS,0.997029703,0.922552255,0.9672387238000001
LA,1.0,0.99270073,0.997080292
ME,0.325538104,0.15788249,0.2584758584
MA,0.892857143,0.821428571,0.8642857142
MI,0.942823529,0.778705882,0.8771764702
MN,0.937317088,0.568874555,0.7899400748
MS,0.99363564,0.910898966,0.9605409704
MT,0.804993767,0.513400216,0.6883563466
NE,0.98732678,0.776501244,0.9029965656000001
NV,0.719520715,0.472680314,0.6207845546
NM,0.82796726,0.483573322,0.6902096848
NY,0.98731203,0.932196563,0.9652658432
NC,0.966801256,0.543292956,0.7973979360000001
ND,0.967505293,0.711683324,0.8651765054
OK,0.969774045,0.818658407,0.9093277898000001
OR,0.766718128,0.557027166,0.6828417432
RI,1.0,1.0,1.0
SC,1.0,1.0,1.0
SD,0.942398454,0.64943701,0.8252138764000001
TN,1.0,1.0,1.0
TX,1.0,0.844705882,0.9378823528
UT,0.691858011,0.396865521,0.573861015
VA,0.994334278,0.53604029,0.8110166827999999
WA,0.708425328,0.482727284,0.6181461104
WI,0.896461115,0.387158296,0.6927399874
WY,0.82742501,0.18005926,0.5684787099999999
AL,0.944803046,0.638189943,0.8221578048
AK,0.071255257,0.013289394,0.048068911799999996
AZ,0.732047363,0.524125482,0.6488786106
AR,0.913443792,0.662200589,0.8129465108
CA,0.719997216,0.563240363,0.6572944748
CO,0.76095679,0.459686078,0.6404485052
CT,0.878002202,0.889640297,0.88265744
DE,0.999443428,0.914780949,0.9655784364
NAN,1.0,0.998265896,0.9993063584
FL,0.925486399,0.748645613,0.8547500846
GA,0.969805849,0.705918614,0.8642509549999999
HI,0.751005813,0.443751234,0.6281039814
